Qty,Designator,Footprint,Value,Device,LCSC Part #,Description
2,"LED1, LED2",CHIPLED_0603,,LEDCHIPLED_0603,,LED
1,U2,SOT223,,V_REG_LM1117SOT223,,Voltage Regulator LM1117
1,R3,R0603,0,R_0603,,RESISTOR
12,"C1, C2, C3, C11, C12, C13, C17, C18, C19, C23, C24, C25",C0603,0.1uf,C_0603,,NON-POLARIZED CAP
1,C28,C0603,100nf,C_0603,,NON-POLARIZED CAP
3,"C15, C21, C27",C1206,100uf,C_1206,,NON-POLARIZED CAP
3,"R4, R5, R6",R0603,10K,R_0603,,RESISTOR
4,"C9, C10, C16, C22",C0603,10nf,C_0603,,NON-POLARIZED CAP
1,C29,C0603,10uf,C_0603,,NON-POLARIZED CAP
1,R13,R0603,120,R_0603,,RESISTOR
4,"C4, C8, C30, C31",C0603,1uf,C_0603,,NON-POLARIZED CAP
6,"R7, R8, R9, R10, R11, R12",R0603,2.4k,R_0603,,RESISTOR
2,"C6, C7",C0603,22pf,C_0603,,NON-POLARIZED CAP
1,L2,PM0603,22uh,L_PM0603,,INDUCTOR
1,R14,R0603,2K,R_0603,,RESISTOR
1,Q2,3.2X1.5,32.768khz,KX-327-NHF,,Tuning Fork Crystals (kHz) SMD:
1,R15,R0603,3K,R_0603,,RESISTOR
2,"R1, R2",R0603,4.7k,R_0603,,RESISTOR
1,C5,C1206,4.7uf,C_1206,,NON-POLARIZED CAP
3,"C14, C20, C26",C0603,470nf,C_0603,,NON-POLARIZED CAP
3,"EN_1, EN_2, EN_3",CON4_1X4_DRB2_MOL,54550-0494,54550-0494,,
3,"IC1, IC2, IC3",QFN50P600X600X100-37N,DRV8313RHHR,DRV8313RHHR,,"TEXAS INSTRUMENTS - DRV8313RHHR - MOTOR DRIVER, 3P BLDC, 1.75A, VQFN-36"
1,U3,SOIC127P600X175-8N,MCP2561-E/SN,MCP2561-E/SN,,MCP2561 Series High-Speed 1 Mbps 5 V 5 uA CAN Transceiver - SOIC-8 Check prices
1,S1,TACTILE_SWITCH_SMD_RIGHT_ANGLE,MOMENTARY-SWITCH-SPST-SMD-RIGHT-ANGLE,MOMENTARY-SWITCH-SPST-SMD-RIGHT-ANGLE,,Momentary Switch (Pushbutton) - SPST
6,"5V_IN, CAN, MOT1, MOT2, MOT3, SERIAL",JST_SM03B-SRSS-TB(LF)(SN),SM03B-SRSS-TB(LF)(SN),SM03B-SRSS-TB(LF)(SN),,SH Series 3 Position 1 mm Pitch Surface Mount Side Entry Shrouded Header
1,PWR,JST_SM04B-SRSS-TB(LF)(SN),SM04B-SRSS-TB(LF)(SN),SM04B-SRSS-TB(LF)(SN),,SH Series 1.0 mm Pitch 2 Position Single Row Side Entry Shrouded Header Check prices
2,"PRO, SPI",SM06B,SM06B-SRSS-TB,SM06B-SRSS-TB,,CONN HEADER SH 6POS SIDE 1MM TIN Check prices
1,U1,STMICROELECTRONICS_STM32F446RET6_0,STMICROELECTRONICS_STM32F446RET6STMICROELECTRONICS_STM32F446RET6_0_0,STMICROELECTRONICS_STM32F446RET6STMICROELECTRONICS_STM32F446RET6_0_0,,MCU 32-bit ARM Cortex M4 RISC 512KB Flash 2.5V/3.3V Medical 64-Pin LQFP Frame