Designator,Mid X,Mid Y,Layer,Rotation
5V_IN,30.2,26.23,Top,90
C1,19.11,32.45,Top,0
C2,24.7,23.75,Top,0
C3,7.94,21.02,Top,180
C4,15.94,32.45,Top,0
C5,12.38,15.56,Top,46
C6,12.32,32.51,Top,137
C7,9.4,31.24,Top,46
C8,8.06,28.57,Top,315
C9,6.98,27.56,Top,315
C10,2.98,10.99,Top,90
C12,1.46,7.94,Top,270
C13,2.98,7.94,Top,90
C14,11.68,11.56,Top,270
C15,1.97,3.62,Top,90
C16,13.4,10.92,Top,90
C18,11.87,7.87,Top,270
C19,13.4,7.87,Top,90
C20,22.1,11.49,Top,270
C21,12.38,3.49,Top,90
C22,23.75,10.92,Top,90
C24,22.23,7.87,Top,270
C25,23.75,7.87,Top,90
C26,32.45,11.49,Top,270
C27,22.73,3.49,Top,90
IC1,7.3,10.48,Top,0
IC2,17.72,10.41,Top,0
IC3,28.07,10.41,Top,0
L2,3.94,26.92,Top,180
LED1,4.19,18.61,Top,90
MOT1,6.99,4.03,Top,0
MOT2,17.34,3.97,Top,0
MOT3,27.69,3.97,Top,0
PRO,26.61,31.71,Top,180
PWR,30.2,19.37,Top,90
Q2,10.79,30.29,Top,46
R1,3.94,28.45,Top,0
R2,20.89,30.86,Top,180
R3,1.97,15.05,Top,90
R14,3.43,16.57,Top,90
S1,4.32,32.13,Top,0
SERIAL,3.33,21.97,Top,270
U1,15.94,24.38,Top,315