"Qty";"Value";"Device";"Package";"Parts";"Description";"AMBIENT_TEMPERATURE_RANGE_HIGH";"AMBIENT_TEMPERATURE_RANGE_LOW";"ARROW_EUROPE-PURCHASE-URL";"ARROW_PART_NUMBER";"ARROW_PRICE-STOCK";"AUTOMOTIVE";"AVAILABILITY";"BUILT_BY";"CENTROID_NOT_SPECIFIED";"CORE_ARCHITECTURE";"DATASHEET";"DATA_BUS_WIDTH";"DESCRIPTION";"DEVICE_CLASS_L1";"DEVICE_CLASS_L2";"DEVICE_CLASS_L3";"DIGIKEY-PURCHASE-URL";"DIGIKEY_DESCRIPTION";"DIGIKEY_PART_NUMBER";"FOOTPRINT_PARAMETERS_1";"FOOTPRINT_PARAMETERS_2";"FOOTPRINT_PARAMETERS_3";"FOOTPRINT_VARIANT_NAME_0";"FOOTPRINT_VARIANT_NAME_1";"FOOTPRINT_VARIANT_NAME_2";"FOOTPRINT_VARIANT_NAME_3";"FREQUENCY";"HEIGHT";"INTERFACE";"LEAD_FREE";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MAX_JUNCTION_TEMP";"MAX_SUPPLY_VOLTAGE";"MEMORY_SIZE";"MEMORY_TYPE";"MF";"MFG_PACKAGE_IDENT";"MFG_PACKAGE_IDENT_COMPONENT_ID";"MFG_PACKAGE_IDENT_DATE";"MFG_PACKAGE_IDENT_REV";"MIN_SUPPLY_VOLTAGE";"MOUSER-PURCHASE-URL";"MOUSER_DESCRIPTION";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MP";"MPN";"NUMBER_OF_A/D_CONVERTERS";"NUMBER_OF_ADC_CHANNELS";"NUMBER_OF_CORES";"NUMBER_OF_I/OS";"NUMBER_OF_I2C_CHANNELS";"NUMBER_OF_PWM_CHANNELS";"NUMBER_OF_SPI_CHANNELS";"NUMBER_OF_TIMERS/COUNTERS";"NUMBER_OF_UART_CHANNELS";"NUMBER_OF_USB_CHANNELS";"PACKAGE";"POPULARITY";"PREFIX";"PRICE";"PROD_ID";"RAM_SIZE";"ROHS";"SOURCELIBRARY";"STANDOFF_HEIGHT";"TEMPERATURE_RANGE_HIGH";"TEMPERATURE_RANGE_LOW";"VENDOR";"VERIFICATION_VERSION";
"2";"";"LEDCHIPLED_0603";"CHIPLED_0603";"LED1, LED2";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"28";"";"";"";"";"";"";"";"";"";"";"";
"1";"";"V_REG_LM1117SOT223";"SOT223";"U2";"Voltage Regulator LM1117";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"VREG-08170";"";"";"";"";"";"";"";"";
"1";"0";"R_0603";"R0603";"R3";"RESISTOR";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"12";"0.1uf";"C_0603";"C0603";"C1, C2, C3, C11, C12, C13, C17, C18, C19, C23, C24, C25";"NON-POLARIZED CAP";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"100nf";"C_0603";"C0603";"C28";"NON-POLARIZED CAP";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"3";"100uf";"C_1206";"C1206";"C15, C21, C27";"NON-POLARIZED CAP";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"3";"10K";"R_0603";"R0603";"R4, R5, R6";"RESISTOR";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"4";"10nf";"C_0603";"C0603";"C9, C10, C16, C22";"NON-POLARIZED CAP";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"10uf";"C_0603";"C0603";"C29";"NON-POLARIZED CAP";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"120";"R_0603";"R0603";"R13";"RESISTOR";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"4";"1uf";"C_0603";"C0603";"C4, C8, C30, C31";"NON-POLARIZED CAP";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"6";"2.4k";"R_0603";"R0603";"R7, R8, R9, R10, R11, R12";"RESISTOR";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"22pf";"C_0603";"C0603";"C6, C7";"NON-POLARIZED CAP";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"22uh";"L_PM0603";"PM0603";"L2";"INDUCTOR";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"2K";"R_0603";"R0603";"R14";"RESISTOR";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"32.768khz";"KX-327-NHF";"3.2X1.5";"Q2";"Tuning Fork Crystals (kHz) SMD:";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"3K";"R_0603";"R0603";"R15";"RESISTOR";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"4.7k";"R_0603";"R0603";"R1, R2";"RESISTOR";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"4.7uf";"C_1206";"C1206";"C5";"NON-POLARIZED CAP";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"3";"470nf";"C_0603";"C0603";"C14, C20, C26";"NON-POLARIZED CAP";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"3";"54550-0494";"54550-0494";"CON4_1X4_DRB2_MOL";"EN_1, EN_2, EN_3";"";"";"";"";"";"";"";"";"EMA_UL_Team";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"54550-0494";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Molex_2010-01-01";"";"";"";"Molex Connector Corporation";"";
"3";"DRV8313RHHR";"DRV8313RHHR";"QFN50P600X600X100-37N";"IC1, IC2, IC3";"TEXAS INSTRUMENTS - DRV8313RHHR - MOTOR DRIVER, 3P BLDC, 1.75A, VQFN-36";"";"";"";"DRV8313RHHR";"https://www.arrow.com/en/products/drv8313rhhr/texas-instruments";"";"";"";"";"";"";"";"TEXAS INSTRUMENTS - DRV8313RHHR - MOTOR DRIVER, 3P BLDC, 1.75A, VQFN-36";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1mm";"";"";"Texas Instruments";"DRV8313RHHR";"";"";"";"";"";"";"";"";"";"";"";"";"595-DRV8313RHHR";"https://www.mouser.co.uk/ProductDetail/Texas-Instruments/DRV8313RHHR?qs=VymPLiRQZIS1rnepRn1%252BBA%3D%3D";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"MCP2561-E/SN";"MCP2561-E/SN";"SOIC127P600X175-8N";"U3";"MCP2561 Series High-Speed 1 Mbps 5 V 5 uA CAN Transceiver - SOIC-8 Check prices";"";"";"";"";"";"";"Good";"";"";"";"";"";" 1/1 Transceiver Half CANbus 8-SOIC ";"";"";"";"https://snapeda.com/shop?store=DigiKey&id=46593";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Microchip";"";"";"";"";"";"https://snapeda.com/shop?store=Mouser&id=46593";"";"";"";"MCP2561-E/SN";"";"";"";"";"";"";"";"";"";"";"";"SOIC-8 Microchip";"";"";"None";"";"";"";"";"";"";"";"";"";
"1";"MOMENTARY-SWITCH-SPST-SMD-RIGHT-ANGLE";"MOMENTARY-SWITCH-SPST-SMD-RIGHT-ANGLE";"TACTILE_SWITCH_SMD_RIGHT_ANGLE";"S1";"Momentary Switch (Pushbutton) - SPST";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"COMP-12265";"";"";"";"";"";"";"";"";
"6";"SM03B-SRSS-TB(LF)(SN)";"SM03B-SRSS-TB(LF)(SN)";"JST_SM03B-SRSS-TB(LF)(SN)";"5V_IN, CAN, MOT1, MOT2, MOT3, SERIAL";"SH Series 3 Position 1 mm Pitch Surface Mount Side Entry Shrouded Header";"";"";"";"";"";"";"Unavailable";"";"";"";"";"";" Connector Header Surface Mount, Right Angle 3 position 0.039 _1.00mm_ ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"JST Sales";"";"";"";"";"";"";"";"";"";"SM03B-SRSS-TB_LF__SN_";"";"";"";"";"";"";"";"";"";"";"";"None";"";"";"None";"";"";"";"";"";"";"";"";"";
"1";"SM04B-SRSS-TB(LF)(SN)";"SM04B-SRSS-TB(LF)(SN)";"JST_SM04B-SRSS-TB(LF)(SN)";"PWR";"SH Series 1.0 mm Pitch 2 Position Single Row Side Entry Shrouded Header Check prices";"";"";"https://snapeda.com/shop?store=Arrow+Europe&id=557466";"";"";"";"Good";"";"";"";"";"";" Connector Header Surface Mount, Right Angle 4 position 0.039 (1.00mm) ";"";"";"";"https://snapeda.com/shop?store=DigiKey&id=557466";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"JST Sales";"";"";"";"";"";"";"";"";"";"SM04B-SRSS-TB(LF)(SN)";"";"";"";"";"";"";"";"";"";"";"";"None";"";"";"None";"";"";"";"";"";"";"";"";"";
"2";"SM06B-SRSS-TB";"SM06B-SRSS-TB";"SM06B";"PRO, SPI";"CONN HEADER SH 6POS SIDE 1MM TIN Check prices";"";"";"";"";"";"";"Bad";"";"";"";"";"";" Connector Header Surface Mount, Right Angle 6 position 0.039 (1.00mm) ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"JST Sales";"";"";"";"";"";"";"";"";"";"SM06B-SRSS-TB";"";"";"";"";"";"";"";"";"";"";"";"None";"";"";"None";"";"";"";"";"";"";"";"";"";
"1";"STMICROELECTRONICS_STM32F446RET6STMICROELECTRONICS_STM32F446RET6_0_0";"STMICROELECTRONICS_STM32F446RET6STMICROELECTRONICS_STM32F446RET6_0_0";"STMICROELECTRONICS_STM32F446RET6_0";"U1";"MCU 32-bit ARM Cortex M4 RISC 512KB Flash 2.5V/3.3V Medical 64-Pin LQFP Frame";"+85°C";"-40°C";"";"";"";"No";"";"";"No";"ARM Cortex-M4";"https://www.st.com/resource/en/datasheet/stm32f446re.pdf";"32b";"";"Integrated Circuits (ICs)";"Embedded Processors and Controllers";"Microcontrollers";"";"IC MCU 32BIT 512KB FLASH 64LQFP";"497-15376-ND";"{"fp_type":"MQFP","params":{"N1":{"nom":16,"long name":"Leads on long side","min":null,"max":null,"short name":"N1","type":"count"},"N2":{"nom":16,"long name":"Leads on wide side","min":null,"max":null,"short name":"N2","type":"count"},"A":{"nom":false,"long name":"Height","min":false,"max":1600000,"short name":"A","type":"measurement"},"A1":{"nom":false,"long name":"Package clearance","min":50000,"max":150000,"short name":"A1","type":"measurement"},"A2":{"nom":1400000,"long name":"Package height","min":1350000,"max":1450000,"short name":"A2","type":"measurement"},"D":{"nom":12000000,"long name":"Length /w leads","min":false,"max":false,"short name":"D","type":"measurement"},"D1":{"nom":10000000,"long name":"Package length","min":false,"max":false,"short name":"D1","type":"measurement"},"E":{"nom":12000000,"long name":"Width /w leads","min":false,"max":false,"short name":"E","type":"measurement"},"E1":{"nom":10000000,"long name":"Package width","min":false,"max":false,"short name":"E1","type":"measurement"},"B":{"nom":220000,"long name":"Lead width","min":170000,"max":270000,"short name":"B","type":"measurement"},"C":{"nom":false,"long name":"Lead thickness","min":90000,"max":200000,"short name":"C","type":"measurement"},"L":{"nom":600000,"long name":"Lead foot length","min":450000,"max":750000,"short name":"L","type":"measurement"},"e":{"nom":500000,"long name":"Lead pitch","min":null,"max":null,"short name":"e","type":"measurement"},"PHI":{"nom":false,"long name":"Lead angle","min":0,"max":70,"short name":"PHI","type":"measurement"},"HT":{"default":"No","long name":"Thermal pad","type":"multichoiceparent","short name":"HT","children":[]},"offset x":{"nom":0,"long name":"X Center offset","min":null,"max":null,"short name":"offset x","type":"measurement"},"offset y":{"nom":0,"long name":"Y Center offset","min":null,"max":null,"short name":"offset y","type":"measurement"},"LS":{"default":"Rounded rectangle","long name":"Land shape","type":"multichoice","short name":"LS"},"LS1":{"default":"Rectangle","long name":"Land shape (Pin 1)","type":"multichoice","short name":"LS1"},"solder toe":{"nom":550000,"long name":"Solder fillet (toe)","min":null,"max":null,"short name":"solder toe","type":"fixedmeasurement"},"solder heel":{"nom":450000,"long name":"Solder fillet (heel)","min":null,"max":null,"short name":"solder heel","type":"fixedmeasurement"},"solder side":{"nom":10000,"long name":"Solder fillet (side)","min":null,"max":null,"short name":"solder side","type":"fixedmeasurement"},"courtyard":{"nom":500000,"long name":"Courtyard","min":null,"max":null,"short name":"courtyard","type":"fixedmeasurement"},"SF":{"default":"A (<= 0.625mm pitch)","long name":"Packing level","type":"multichoiceparent","short name":"SF","help":"http://support.upverter.com/customer/portal/articles/978783-what-is-a-footprint-packing-level","children":["solder toe","solder heel","solder side","courtyard"]}}}";"{"fp_type":"MQFP","params":{"N1":{"nom":16,"long name":"Leads on long side","min":null,"max":null,"short name":"N1","type":"count"},"N2":{"nom":16,"long name":"Leads on wide side","min":null,"max":null,"short name":"N2","type":"count"},"A":{"nom":false,"long name":"Height","min":false,"max":1600000,"short name":"A","type":"measurement"},"A1":{"nom":false,"long name":"Package clearance","min":50000,"max":150000,"short name":"A1","type":"measurement"},"A2":{"nom":1400000,"long name":"Package height","min":1350000,"max":1450000,"short name":"A2","type":"measurement"},"D":{"nom":12000000,"long name":"Length /w leads","min":false,"max":false,"short name":"D","type":"measurement"},"D1":{"nom":10000000,"long name":"Package length","min":false,"max":false,"short name":"D1","type":"measurement"},"E":{"nom":12000000,"long name":"Width /w leads","min":false,"max":false,"short name":"E","type":"measurement"},"E1":{"nom":10000000,"long name":"Package width","min":false,"max":false,"short name":"E1","type":"measurement"},"B":{"nom":220000,"long name":"Lead width","min":170000,"max":270000,"short name":"B","type":"measurement"},"C":{"nom":false,"long name":"Lead thickness","min":90000,"max":200000,"short name":"C","type":"measurement"},"L":{"nom":600000,"long name":"Lead foot length","min":450000,"max":750000,"short name":"L","type":"measurement"},"e":{"nom":500000,"long name":"Lead pitch","min":null,"max":null,"short name":"e","type":"measurement"},"PHI":{"nom":false,"long name":"Lead angle","min":0,"max":70,"short name":"PHI","type":"measurement"},"HT":{"default":"No","long name":"Thermal pad","type":"multichoiceparent","short name":"HT","children":[]},"offset x":{"nom":0,"long name":"X Center offset","min":null,"max":null,"short name":"offset x","type":"measurement"},"offset y":{"nom":0,"long name":"Y Center offset","min":null,"max":null,"short name":"offset y","type":"measurement"},"LS":{"default":"Rounded rectangle","long name":"Land shape","type":"multichoice","short name":"LS"},"LS1":{"default":"Rectangle","long name":"Land shape (Pin 1)","type":"multichoice","short name":"LS1"},"solder toe":{"nom":350000,"long name":"Solder fillet (toe)","min":null,"max":null,"short name":"solder toe","type":"fixedmeasurement"},"solder heel":{"nom":350000,"long name":"Solder fillet (heel)","min":null,"max":null,"short name":"solder heel","type":"fixedmeasurement"},"solder side":{"nom":-20000,"long name":"Solder fillet (side)","min":null,"max":null,"short name":"solder side","type":"fixedmeasurement"},"courtyard":{"nom":250000,"long name":"Courtyard","min":null,"max":null,"short name":"courtyard","type":"fixedmeasurement"},"SF":{"default":"B (<= 0.625mm pitch)","long name":"Packing level","type":"multichoiceparent","short name":"SF","help":"http://support.upverter.com/customer/portal/articles/978783-what-is-a-footprint-packing-level","children":["solder toe","solder heel","solder side","courtyard"]}}}";"{"fp_type":"MQFP","params":{"N1":{"nom":16,"long name":"Leads on long side","min":null,"max":null,"short name":"N1","type":"count"},"N2":{"nom":16,"long name":"Leads on wide side","min":null,"max":null,"short name":"N2","type":"count"},"A":{"nom":false,"long name":"Height","min":false,"max":1600000,"short name":"A","type":"measurement"},"A1":{"nom":false,"long name":"Package clearance","min":50000,"max":150000,"short name":"A1","type":"measurement"},"A2":{"nom":1400000,"long name":"Package height","min":1350000,"max":1450000,"short name":"A2","type":"measurement"},"D":{"nom":12000000,"long name":"Length /w leads","min":false,"max":false,"short name":"D","type":"measurement"},"D1":{"nom":10000000,"long name":"Package length","min":false,"max":false,"short name":"D1","type":"measurement"},"E":{"nom":12000000,"long name":"Width /w leads","min":false,"max":false,"short name":"E","type":"measurement"},"E1":{"nom":10000000,"long name":"Package width","min":false,"max":false,"short name":"E1","type":"measurement"},"B":{"nom":220000,"long name":"Lead width","min":170000,"max":270000,"short name":"B","type":"measurement"},"C":{"nom":false,"long name":"Lead thickness","min":90000,"max":200000,"short name":"C","type":"measurement"},"L":{"nom":600000,"long name":"Lead foot length","min":450000,"max":750000,"short name":"L","type":"measurement"},"e":{"nom":500000,"long name":"Lead pitch","min":null,"max":null,"short name":"e","type":"measurement"},"PHI":{"nom":false,"long name":"Lead angle","min":0,"max":70,"short name":"PHI","type":"measurement"},"HT":{"default":"No","long name":"Thermal pad","type":"multichoiceparent","short name":"HT","children":[]},"offset x":{"nom":0,"long name":"X Center offset","min":null,"max":null,"short name":"offset x","type":"measurement"},"offset y":{"nom":0,"long name":"Y Center offset","min":null,"max":null,"short name":"offset y","type":"measurement"},"LS":{"default":"Rounded rectangle","long name":"Land shape","type":"multichoice","short name":"LS"},"LS1":{"default":"Rectangle","long name":"Land shape (Pin 1)","type":"multichoice","short name":"LS1"},"solder toe":{"nom":150000,"long name":"Solder fillet (toe)","min":null,"max":null,"short name":"solder toe","type":"fixedmeasurement"},"solder heel":{"nom":250000,"long name":"Solder fillet (heel)","min":null,"max":null,"short name":"solder heel","type":"fixedmeasurement"},"solder side":{"nom":-40000,"long name":"Solder fillet (side)","min":null,"max":null,"short name":"solder side","type":"fixedmeasurement"},"courtyard":{"nom":100000,"long name":"Courtyard","min":null,"max":null,"short name":"courtyard","type":"fixedmeasurement"},"SF":{"default":"C (<= 0.625mm pitch)","long name":"Packing level","type":"multichoiceparent","short name":"SF","help":"http://support.upverter.com/customer/portal/articles/978783-what-is-a-footprint-packing-level","children":["solder toe","solder heel","solder side","courtyard"]}}}";"Recommended_Land_Pattern";"IPC_A";"IPC_B";"IPC_C";"180MHz";"1.6mm";"I2C,SPI,UART,USART,CAN,USB,LIN,IrDA,I2S,Other";"Yes";"";"";"+125°C";"3.6V";"512KBytes";"FLASH";"STMicroelectronics";"LQFP64-5W";"ac0a92a8d775d0c0";"0";"3";"1.65V";"";"ARM Microcontrollers - MCU High-performance and DSP with FP, ARM Cortex-M4 MCU with 512 Kbytes Flash, 180 MHz CPU, Art Accelerator, SDRAM";"511-STM32F446RET6";"";"";"STM32F446RET6";"3";"16";"1";"50";"4";"25";"4";"14";"6";"2";"LQFP64";"";"U";"";"";"128KBytes";"Yes";"";"0.05mm";"+85°C";"-40°C";"";"0.0.0.3";
